time_step,num_transactions,num_illicit,illicit_ratio,avg_psi,max_psi
1,2147,17,0.007918025151374011,0.33034220692076965,0.9983162566153247
2,1117,18,0.01611459265890779,0.3554436955460514,1.0637343562690638
3,1279,11,0.008600469116497263,0.27598425817312655,0.686885556035636
4,1440,30,0.020833333333333332,0.3308443724996744,0.781908674406371
5,1882,8,0.004250797024442083,0.37739930878048666,0.852496850820176
6,485,5,0.010309278350515464,0.5358279222005867,0.9225905116841532
7,1203,102,0.08478802992518704,0.16479913767085091,0.2642548865115565
8,1165,67,0.05751072961373391,0.4866096568178052,0.7765064401275514
9,778,248,0.31876606683804626,0.34439650741279293,0.5943275812538283
10,972,18,0.018518518518518517,0.36847088062580635,0.45383381105664067
11,696,131,0.1882183908045977,0.1269181126779647,0.20795054505174465
12,506,16,0.03162055335968379,0.3162413283879935,0.6794343889358982
13,809,291,0.35970333745364647,0.3952542108460946,0.6583384071344919
14,417,43,0.10311750599520383,0.3558671968609436,0.6406044828563553
15,618,147,0.23786407766990292,0.1421123819674023,0.2667185208636751
16,530,128,0.24150943396226415,0.19068619643184442,0.447101752952217
17,811,99,0.1220715166461159,0.16620079062151324,0.36020412740394403
18,389,52,0.13367609254498714,0.15204668208523003,0.25624434700899035
19,745,80,0.10738255033557047,0.17883346225287836,0.2435003069368044
20,900,260,0.28888888888888886,0.37884420592200535,0.6269758054352566
21,641,100,0.15600624024961,0.37631133307613757,0.5838843207796438
22,1763,158,0.08961996596710153,0.1967313248288044,0.2873377659529853
23,1187,53,0.04465037910699242,0.23909233079269887,0.3946526602696605
24,1126,137,0.1216696269982238,0.14972596613667427,0.18898106945926518
25,594,118,0.19865319865319866,0.23501447697303682,0.3276148590321653
26,517,96,0.18568665377176016,0.3267330341360539,0.8814117157078245
27,206,24,0.11650485436893204,0.4836349411837036,1.1132213132711621
28,284,85,0.2992957746478873,0.3747268887088909,1.2849936747902049
29,1174,329,0.28023850085178875,0.29426025559332525,0.8183148844490181
30,524,83,0.15839694656488548,0.3257943096775101,0.7722971618503863
31,710,106,0.14929577464788732,0.3103202874838763,1.249396606348563
32,1323,342,0.2585034013605442,0.6503866050147715,1.4454651833036978
33,441,23,0.05215419501133787,0.8842539838723507,2.2779100692139846
34,515,37,0.07184466019417475,0.6396388808877387,1.9861928709278378
35,1341,182,0.13571961222967935,0.5001347451251407,1.7101940594986138
36,1708,33,0.019320843091334895,0.6995419776096904,1.9612688438295713
37,498,40,0.08032128514056225,0.6208273282940844,1.8818384334645144
38,756,111,0.14682539682539683,0.6307233025570803,2.13139330969679
39,1183,81,0.06846999154691462,0.9927350251976407,2.900634099351904
40,1211,112,0.09248554913294797,0.4977490565626491,2.16265080852169
41,1132,116,0.10247349823321555,0.47523964285919557,2.1719933429969056
42,2154,239,0.11095636025998143,0.49547082081159555,1.4494954725087124
43,1370,24,0.017518248175182483,0.8099347165262867,2.3681084523488845
44,1591,24,0.01508485229415462,0.6571115735606972,1.3882086178727278
45,1221,5,0.004095004095004095,0.3504967840919795,0.9176142741006789
46,712,2,0.0028089887640449437,0.7526037356970406,2.0294468688628617
47,846,22,0.026004728132387706,0.45081172934673264,1.6854626852504393
48,471,36,0.07643312101910828,0.5931810879746064,1.2806138572318189
49,476,56,0.11764705882352941,0.8108730653670468,1.4094265497377962
