method,category,time_step,auprc,recall,precision,f1,avg_prob,num_illicit,total_tx,strategy,tp,fn,fp,fraud_loss,friction_cost,total_cost
Static_RF,Static,45,0.00775302992315968,0.0,0.0,0.0,0.1300689206869174,5,1221,,0,5,24,50000.0,2400.0,52400.0
Static_XGBoost,Static,45,0.008404693841026607,0.0,0.0,0.0,0.2342555820941925,5,1221,,0,5,24,50000.0,2400.0,52400.0
Static_LightGBM,Static,45,0.007984351767798187,0.0,0.0,0.0,0.05909346225577342,5,1221,,0,5,24,50000.0,2400.0,52400.0
Static_LR,Static,46,0.013621200889547814,1.0,0.011363636363636364,0.02247191011235955,0.2545511189281158,2,712,,2,0,174,0.0,17400.0,17400.0
Static_DT,Static,46,0.007577333888195311,0.0,0.0,0.0,0.07404952523355428,2,712,,0,2,14,20000.0,1400.0,21400.0
Static_KNN,Static,46,0.25140449438202245,0.5,0.125,0.2,0.03635000212354435,2,712,,1,1,7,10000.0,700.0,10700.0
Static_RF,Static,46,0.08954451345755693,0.5,0.02857142857142857,0.05405405405405406,0.07375173574228827,2,712,,1,1,34,10000.0,3400.0,13400.0
Static_XGBoost,Static,46,0.25970873786407767,0.5,0.037037037037037035,0.06896551724137931,0.20334883034229279,2,712,,1,1,26,10000.0,2600.0,12600.0
Static_LightGBM,Static,46,0.09102564102564102,0.5,0.07142857142857142,0.125,0.03226239289769567,2,712,,1,1,13,10000.0,1300.0,11300.0
Static_LR,Static,47,0.04584697915832915,0.2727272727272727,0.03208556149732621,0.05741626794258373,0.2112056217361817,22,846,,6,16,181,160000.0,18100.0,178100.0
Static_DT,Static,47,0.02485278315065549,0.0,0.0,0.0,0.07568591691938867,22,846,,0,22,16,220000.0,1600.0,221600.0
Static_KNN,Static,47,0.027351286905451758,0.0,0.0,0.0,0.0324584390207407,22,846,,0,22,16,220000.0,1600.0,221600.0
Static_RF,Static,47,0.04402906128611251,0.0,0.0,0.0,0.07715943062068485,22,846,,0,22,16,220000.0,1600.0,221600.0
Static_XGBoost,Static,47,0.05354846882182275,0.0,0.0,0.0,0.20585690438747406,22,846,,0,22,16,220000.0,1600.0,221600.0
Static_LightGBM,Static,47,0.045304556459653124,0.0,0.0,0.0,0.023104204378376104,22,846,,0,22,16,220000.0,1600.0,221600.0
Static_LR,Static,48,0.2725580013717973,0.4444444444444444,0.22857142857142856,0.3018867924528302,0.14043262688033312,36,471,,16,20,54,200000.0,5400.0,205400.0
Static_DT,Static,48,0.11935184721599404,0.05555555555555555,0.14285714285714285,0.08,0.039800491943717965,36,471,,2,34,12,340000.0,1200.0,341200.0
Static_KNN,Static,48,0.1260943695146061,0.0,0.0,0.0,0.020187333182756544,36,471,,0,36,9,360000.0,900.0,360900.0
Static_RF,Static,48,0.12997370155159443,0.0,0.0,0.0,0.042672050435987006,36,471,,0,36,9,360000.0,900.0,360900.0
Static_XGBoost,Static,48,0.18243501859326822,0.0,0.0,0.0,0.18805676698684692,36,471,,0,36,9,360000.0,900.0,360900.0
Static_LightGBM,Static,48,0.16151998442160684,0.0,0.0,0.0,0.015136359824141488,36,471,,0,36,9,360000.0,900.0,360900.0
Static_LR,Static,49,0.2462033223441025,0.5535714285714286,0.28440366972477066,0.37575757575757573,0.2168002918296191,56,476,,31,25,78,250000.0,7800.0,257800.0
Static_DT,Static,49,0.11551770778437603,0.017857142857142856,0.02564102564102564,0.021052631578947368,0.07959095926884655,56,476,,1,55,38,550000.0,3800.0,553800.0
Static_KNN,Static,49,0.15532647902245392,0.0,0.0,0.0,0.023600815831581804,56,476,,0,56,8,560000.0,800.0,560800.0
Static_RF,Static,49,0.17193145470155632,0.03571428571428571,0.06896551724137931,0.047058823529411764,0.0769484937090188,56,476,,2,54,27,540000.0,2700.0,542700.0
Static_XGBoost,Static,49,0.1894554123843084,0.03571428571428571,0.07407407407407407,0.04819277108433735,0.2090795487165451,56,476,,2,54,25,540000.0,2500.0,542500.0
Static_LightGBM,Static,49,0.2390434925876486,0.017857142857142856,0.08333333333333333,0.029411764705882353,0.032545655411046634,56,476,,1,55,11,550000.0,1100.0,551100.0
Continuous_Retraining_LGBM,Retrained,40,0.7753682007646815,0.6428571428571429,0.8571428571428571,0.7346938775510204,0.08551946288973294,112,1211,,72,40,12,400000.0,1200.0,401200.0
Continuous_Retraining_LGBM,Retrained,41,0.9711461594238843,0.9310344827586207,0.8925619834710744,0.9113924050632911,0.11887936931542323,116,1132,,108,8,13,80000.0,1300.0,81300.0
Continuous_Retraining_LGBM,Retrained,42,0.9206707627219047,0.799163179916318,0.8842592592592593,0.8395604395604396,0.11542225068888529,239,2154,,191,48,25,480000.0,2500.0,482500.0
Continuous_Retraining_LGBM,Retrained,43,0.11763506486597479,0.08333333333333333,0.18181818181818182,0.11428571428571428,0.023149977979647646,24,1370,,2,22,9,220000.0,900.0,220900.0
Continuous_Retraining_LGBM,Retrained,44,0.1460903162951793,0.25,0.15789473684210525,0.1935483870967742,0.048433240685967244,24,1591,,6,18,32,180000.0,3200.0,183200.0
Continuous_Retraining_LGBM,Retrained,45,0.02246727351896082,0.0,0.0,0.0,0.04814099792018837,5,1221,,0,5,24,50000.0,2400.0,52400.0
Continuous_Retraining_LGBM,Retrained,46,0.28846153846153844,0.5,0.14285714285714285,0.2222222222222222,0.024901815450802493,2,712,,1,1,6,10000.0,600.0,10600.0
Continuous_Retraining_LGBM,Retrained,47,0.23462110796589167,0.18181818181818182,0.21052631578947367,0.1951219512195122,0.04279965561720246,22,846,,4,18,15,180000.0,1500.0,181500.0
Continuous_Retraining_LGBM,Retrained,48,0.5160633439393072,0.3055555555555556,0.6875,0.4230769230769231,0.045342641395586546,36,471,,11,25,5,250000.0,500.0,250500.0
Continuous_Retraining_LGBM,Retrained,49,0.9109598874651553,0.7857142857142857,0.8979591836734694,0.8380952380952381,0.11024031886617468,56,476,,44,12,5,120000.0,500.0,120500.0
InContext_Random,In-Context,40,0.7455238495328549,0.6607142857142857,0.6788990825688074,0.669683257918552,0.12996424518340996,112,1211,random,74,38,35,380000.0,3500.0,383500.0
InContext_Random,In-Context,41,0.9223255875122814,0.8448275862068966,0.7368421052631579,0.7871485943775101,0.14662960793469676,116,1132,random,98,18,35,180000.0,3500.0,183500.0
InContext_Random,In-Context,42,0.8655180980168417,0.7866108786610879,0.7800829875518672,0.7833333333333333,0.13788797634277236,239,2154,random,188,51,53,510000.0,5300.0,515300.0
InContext_Random,In-Context,43,0.09097209451725273,0.125,0.07894736842105263,0.0967741935483871,0.06040769400330661,24,1370,random,3,21,35,210000.0,3500.0,213500.0
InContext_Random,In-Context,44,0.04883523346381151,0.08333333333333333,0.031746031746031744,0.04597701149425287,0.08094646022708334,24,1591,random,2,22,61,220000.0,6100.0,226100.0
InContext_Random,In-Context,45,0.013458293198254314,0.2,0.014705882352941176,0.0273972602739726,0.095968505731181,5,1221,random,1,4,67,40000.0,6700.0,46700.0
InContext_Random,In-Context,46,0.25625,0.5,0.125,0.2,0.02813370418795297,2,712,random,1,1,7,10000.0,700.0,10700.0
InContext_Random,In-Context,47,0.07681086848202243,0.09090909090909091,0.04,0.05555555555555555,0.08929002793340934,22,846,random,2,20,48,200000.0,4800.0,204800.0
InContext_Random,In-Context,48,0.15563665706094268,0.0,0.0,0.0,0.022259395738050698,36,471,random,0,36,9,360000.0,900.0,360900.0
InContext_Random,In-Context,49,0.33303940886194017,0.0,0.0,0.0,0.042453619240666214,56,476,random,0,56,8,560000.0,800.0,560800.0
InContext_Recency_Only,In-Context,40,0.7532115406295498,0.6428571428571429,0.8571428571428571,0.7346938775510204,0.0904822913299868,112,1211,recency,72,40,12,400000.0,1200.0,401200.0
InContext_Recency_Only,In-Context,41,0.9658161916279666,0.9396551724137931,0.872,0.9045643153526971,0.14633838741742514,116,1132,recency,109,7,16,70000.0,1600.0,71600.0
InContext_Recency_Only,In-Context,42,0.9090913334498515,0.7949790794979079,0.8878504672897196,0.8388520971302428,0.12045663154077882,239,2154,recency,190,49,24,490000.0,2400.0,492400.0
InContext_Recency_Only,In-Context,43,0.0882404710357397,0.16666666666666666,0.08163265306122448,0.1095890410958904,0.07186001036874248,24,1370,recency,4,20,45,200000.0,4500.0,204500.0
InContext_Recency_Only,In-Context,44,0.24971436700200997,0.4166666666666667,0.19607843137254902,0.26666666666666666,0.06434840396454204,24,1591,recency,10,14,41,140000.0,4100.0,144100.0
InContext_Recency_Only,In-Context,45,0.1194451690288117,0.4,0.08,0.13333333333333333,0.026391658598928527,5,1221,recency,2,3,23,30000.0,2300.0,32300.0
InContext_Recency_Only,In-Context,46,0.173036093418259,0.5,0.3333333333333333,0.4,0.009305433174439114,2,712,recency,1,1,2,10000.0,200.0,10200.0
InContext_Recency_Only,In-Context,47,0.1636258042163669,0.13636363636363635,0.42857142857142855,0.20689655172413793,0.013544281537250588,22,846,recency,3,19,4,190000.0,400.0,190400.0
InContext_Recency_Only,In-Context,48,0.4336987023439429,0.027777777777777776,0.5,0.05263157894736842,0.01727839383789437,36,471,recency,1,35,1,350000.0,100.0,350100.0
InContext_Recency_Only,In-Context,49,0.9436232588601698,0.8214285714285714,0.9787234042553191,0.8932038834951457,0.10396926207197212,56,476,recency,46,10,1,100000.0,100.0,100100.0
InContext_Similarity_Only,In-Context,40,0.17505391007100465,0.0,0.0,0.0,0.05133973739954064,112,1211,similarity,0,112,22,1120000.0,2200.0,1122200.0
InContext_Similarity_Only,In-Context,41,0.10247349823321555,0.0,0.0,0.0,2.220446049250308e-15,116,1132,similarity,0,116,20,1160000.0,2000.0,1162000.0
InContext_Similarity_Only,In-Context,42,0.2944676687889061,0.02092050209205021,0.5555555555555556,0.04032258064516129,0.01400915121152718,239,2154,similarity,5,234,4,2340000.0,400.0,2340400.0
InContext_Similarity_Only,In-Context,43,0.05925603158455829,0.041666666666666664,0.06666666666666667,0.05128205128205128,0.037877267927104,24,1370,similarity,1,23,14,230000.0,1400.0,231400.0
InContext_Similarity_Only,In-Context,44,0.037580488379934975,0.0,0.0,0.0,0.007100016398327479,24,1591,similarity,0,24,31,240000.0,3100.0,243100.0
InContext_Similarity_Only,In-Context,45,0.004095004095004095,0.0,0.0,0.0,2.220446049250308e-15,5,1221,similarity,0,5,24,50000.0,2400.0,52400.0
InContext_Similarity_Only,In-Context,46,0.00423728813559322,1.0,0.00423728813559322,0.008438818565400843,0.6618620207826597,2,712,similarity,2,0,470,0.0,47000.0,47000.0
InContext_Similarity_Only,In-Context,47,0.026004728132387706,0.0,0.0,0.0,2.220446049250307e-15,22,846,similarity,0,22,16,220000.0,1600.0,221600.0
InContext_Similarity_Only,In-Context,48,0.07643312101910828,0.0,0.0,0.0,2.220446049250308e-15,36,471,similarity,0,36,9,360000.0,900.0,360900.0
InContext_Similarity_Only,In-Context,49,0.22412797930039308,0.9285714285714286,0.23636363636363636,0.37681159420289856,0.27759871052711366,56,476,similarity,52,4,168,40000.0,16800.0,56800.0
InContext_Proposed_Both,In-Context,40,0.7227536539372972,0.6517857142857143,0.7227722772277227,0.6854460093896714,0.12468597811135351,112,1211,both,73,39,28,390000.0,2800.0,392800.0
InContext_Proposed_Both,In-Context,41,0.9404841909557649,0.9396551724137931,0.5891891891891892,0.7242524916943521,0.2004280680368927,116,1132,both,109,7,76,70000.0,7600.0,77600.0
InContext_Proposed_Both,In-Context,42,0.8856967670885899,0.7866108786610879,0.8663594470046083,0.8245614035087719,0.1234837406762076,239,2154,both,188,51,29,510000.0,2900.0,512900.0
InContext_Proposed_Both,In-Context,43,0.084400395181266,0.125,0.06382978723404255,0.08450704225352113,0.1167606275266018,24,1370,both,3,21,44,210000.0,4400.0,214400.0
InContext_Proposed_Both,In-Context,44,0.1930500173265546,0.8333333333333334,0.08097165991902834,0.14760147601476015,0.20086154075790352,24,1591,both,20,4,227,40000.0,22700.0,62700.0
InContext_Proposed_Both,In-Context,45,0.10081106316400434,0.6,0.05172413793103448,0.09523809523809523,0.07433362515050153,5,1221,both,3,2,55,20000.0,5500.0,25500.0
InContext_Proposed_Both,In-Context,46,0.20666666666666667,1.0,0.07692307692307693,0.14285714285714285,0.060975598921727735,2,712,both,2,0,24,0.0,2400.0,2400.0
InContext_Proposed_Both,In-Context,47,0.3098701681843463,0.7272727272727273,0.16161616161616163,0.2644628099173554,0.14244450853430207,22,846,both,16,6,83,60000.0,8300.0,68300.0
InContext_Proposed_Both,In-Context,48,0.8633686643204065,0.8611111111111112,0.7948717948717948,0.8266666666666667,0.09990284015533409,36,471,both,31,5,8,50000.0,800.0,50800.0
InContext_Proposed_Both,In-Context,49,0.9601646158242605,0.8928571428571429,0.8620689655172413,0.8771929824561403,0.14145150408748824,56,476,both,50,6,8,60000.0,800.0,60800.0
